industry_sector,consumption_unit,energy_consumed,emissions_co2eq,fuel_description,fuel_type,financial_year_start_date
"Food Processing, Beverages and Tobacco",Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2016-01-01 00:00:00+05:30
Chemicals & fertilisers,K. litre,0.0003613787994,1091.629395,Kerosene n.e.c,petroleum fuels,2016-01-01 00:00:00+05:30
Non-Ferrous Metals,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2011-01-01 00:00:00+05:30
Machinery,Cubic meter,0.0119021978,27981.73242,Gas consumed,Natural gas,2009-01-01 00:00:00+05:30
Non-Ferrous Metals,Kwatt,0.006130828879,69875.53125,Electricity purchased,Forms of energy,2017-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.0006797038077,2735.158936,Coal,Coal,2005-01-01 00:00:00+05:30
Textile and Leather,Cubic meter,4.146730959e-09,0.009748848155,Gas consumed,All Gases,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,3.61974744e-05,162.1541443,Coal ash,Coal,2008-01-01 00:00:00+05:30
Transport Equipment,Tonne,0.009361296892,38311.625,Petroleum coke,petroleum fuels,2014-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,0.009687315673,39645.875,Petroleum coke calcined,petroleum fuels,2017-01-01 00:00:00+05:30
Iron and Steel,tonne,0.02356747352,96451.1875,Petroleum coke,petroleum fuels,2007-01-01 00:00:00+05:30
Textile and Leather,tonne,0.000322668998,1307.395996,Coal consumed,Coal and Lignite,2007-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",k. litres,0.0004104436375,1239.841187,Kerosene,petroleum fuels,2006-01-01 00:00:00+05:30
Non-Ferrous Metals,tonne,8.914557839e-05,364.8331909,Petroleum coke calcined,petroleum fuels,2009-01-01 00:00:00+05:30
Machinery,K. litre,0.002428187057,7894.056152,Fuel oils n.e.c,petroleum fuels,2013-01-01 00:00:00+05:30
Chemicals & fertilisers,kwh,0.0,0.0,Electricity own generated,Forms of energy,2009-01-01 00:00:00+05:30
"Pulp, Paper and Print",Cubic meter,1.932038529e-08,0.0454216823,Gas consumed,All Gases,2011-01-01 00:00:00+05:30
Non-specified Industry,K. litre,0.00202006544,6220.488281,Other light petroleum oils and light oils obtained from bituminous minerals n.e.c,petroleum fuels,2015-01-01 00:00:00+05:30
Wood and wood products,tonne,0.0003977081506,1292.952515,Furnace oil,petroleum fuels,2004-01-01 00:00:00+05:30
Non-specified Industry,Cubic meter,3.137308962e-07,0.7375724912,Gas consumed,All gases,2013-01-01 00:00:00+05:30
Iron and Steel,K. litre,6.981127081e-05,226.957016,Fuel oils n.e.c,petroleum fuels,2013-01-01 00:00:00+05:30
"Pulp, Paper and Print",kwh,0.02938409393,324650.25,Electricity purchased,Forms of energy,2009-01-01 00:00:00+05:30
Non-Ferrous Metals,K. Watt,0.006887521709,78499.85938,Electricity purchased,Forms of energy,2013-01-01 00:00:00+05:30
Non-Metallic Minerals,Kwatt,0.02968877726,338374.9688,Electricity purchased,Forms of energy,2014-01-01 00:00:00+05:30
Machinery,Tonne,9.266333655e-05,379.2297974,Petroleum coke,petroleum fuels,2014-01-01 00:00:00+05:30
Machinery,Cubic meter,0.0009651031023,2267.677734,Gas consumed,Natural gas,2008-01-01 00:00:00+05:30
Non-Ferrous Metals,Kwatt,0.005751218065,65548.94531,Electricity purchased,Forms of energy,2017-01-01 00:00:00+05:30
Transport Equipment,Litres,0.004474474583,14546.55469,Furnace oil,petroleum fuels,2012-01-01 00:00:00+05:30
Iron and Steel,K. litre,2.083772597e-05,64.86459351,Diesel,petroleum fuels,2014-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.000386373431,1565.514526,Coal consumed,Coal and Lignite,2007-01-01 00:00:00+05:30
Textile and Leather,k. litres,8.939856343e-05,278.283783,Diesel,petroleum fuels,2004-01-01 00:00:00+05:30
Iron and Steel,K. Watt,0.05553954574,639465.8125,Electricity purchased,Forms of energy,2012-01-01 00:00:00+05:30
Transport Equipment,tonne,0.0005915318616,2420.876709,Petroleum coke,petroleum fuels,2007-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Tonne,0.008299592707,33628.4375,Coal consumed,Coal and Lignite,2012-01-01 00:00:00+05:30
Transport Equipment,k. litres,0.003597680246,11199.0166,High speed diesel,petroleum fuels,2009-01-01 00:00:00+05:30
Non-Ferrous Metals,tonne,1.035625928e-06,3.36682868,Furnace oil,petroleum fuels,2006-01-01 00:00:00+05:30
Non-Ferrous Metals,K.litres,3.554396972e-05,110.6428299,Diesel,petroleum fuels,2012-01-01 00:00:00+05:30
Transport Equipment,Tonne,0.0001379660833,559.0133667,Coal consumed,Coal and Lignite,2010-01-01 00:00:00+05:30
Machinery,kwh,0.0,0.0,Electricity own generated,Forms of energy,2008-01-01 00:00:00+05:30
Non-Metallic Minerals,K. litre,3.466462658e-06,10.67445087,Light petroleum oil,petroleum fuels,2013-01-01 00:00:00+05:30
Machinery,Cubic meter,1.977103238e-06,5.227555752,liquified natural gas,Natural gas,2014-01-01 00:00:00+05:30
Iron and Steel,tonne,0.01396545954,45401.82422,Furnace oil,petroleum fuels,2006-01-01 00:00:00+05:30
Textile and Leather,Kwatt,0.0235475771,268381.2188,Electricity purchased,Forms of energy,2014-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.0002769622661,806.4802246,"Fuel, aviation turbine",petroleum fuels,2005-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",K.litres,0.005422851536,16880.49023,Diesel,petroleum fuels,2012-01-01 00:00:00+05:30
Iron and Steel,K. Watt,0.06047124389,689215.125,Electricity purchased,Forms of energy,2013-01-01 00:00:00+05:30
Transport Equipment,Tonne,0.000771215884,3156.243408,Petroleum coke calcined,petroleum fuels,2012-01-01 00:00:00+05:30
Non-specified Industry,Tonne,0.0002064309228,836.4204102,Coal consumed,Coal and Lignite,2016-01-01 00:00:00+05:30
Chemicals & fertilisers,K. litre,0.0001741539454,536.2808228,"Medium petroleum oil, n.e.c.",petroleum fuels,2017-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.0003893031098,1265.627808,Furnace oil,petroleum fuels,2007-01-01 00:00:00+05:30
Transport Equipment,tonne,0.0005333672161,2182.834717,Petroleum coke calcined,petroleum fuels,2008-01-01 00:00:00+05:30
Non-specified Industry,Litre,3.227028719e-05,104.9109879,Furnace oil,petroleum fuels,2016-01-01 00:00:00+05:30
Chemicals & fertilisers,K. litre,0.004968593363,15466.45508,High speed diesel,petroleum fuels,2013-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.002107684035,8625.8125,Petroleum coke,petroleum fuels,2014-01-01 00:00:00+05:30
Machinery,tonne,0.007210453507,29509.17773,Petroleum coke,petroleum fuels,2008-01-01 00:00:00+05:30
Machinery,tonne,0.008471448906,27540.75195,Furnace oil,petroleum fuels,2004-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.000181393465,742.3627319,Petroleum coke,petroleum fuels,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,K. Watt,0.04091514014,471084.7813,Electricity purchased,Forms of energy,2012-01-01 00:00:00+05:30
Textile and Leather,K. Watt,0.01898550349,214177.4219,Electricity purchased,Forms of energy,2011-01-01 00:00:00+05:30
Non-specified Industry,Tonne,1.858384053e-06,8.344703674,Petroleum products obtained from bitumen n.e.c.,petroleum fuels,2014-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,0.0002396825003,721.0065918,Superior kerosene,petroleum fuels,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,K. litre,1.209364927e-05,37.64564514,High speed diesel,petroleum fuels,2013-01-01 00:00:00+05:30
Wood and wood products,tonne,0.001300995937,4229.54834,Furnace oil,petroleum fuels,2006-01-01 00:00:00+05:30
Textile and Leather,K. litre,0.0008131188806,2531.112061,Diesel,petroleum fuels,2013-01-01 00:00:00+05:30
Textile and Leather,Tonne,0.00024234585,991.8137817,Petroleum coke calcined,petroleum fuels,2012-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.004916690756,20121.83008,Petroleum coke,petroleum fuels,2009-01-01 00:00:00+05:30
"Pulp, Paper and Print",Tonne,0.2227367759,902488.8125,Coal consumed,Coal and Lignite,2017-01-01 00:00:00+05:30
Transport Equipment,K. litre,5.882162895e-06,18.31025696,High speed diesel,petroleum fuels,2017-01-01 00:00:00+05:30
"Pulp, Paper and Print",k. litres,0.006351669319,19186.70508,Kerosene,petroleum fuels,2009-01-01 00:00:00+05:30
Textile and Leather,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2012-01-01 00:00:00+05:30
Machinery,kwh,0.0,0.0,Electricity own generated,Forms of energy,2009-01-01 00:00:00+05:30
Machinery,tonne,0.0005581261357,2261.425293,Coal consumed,Coal and Lignite,2009-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,0.006168372463,25244.4043,Petroleum coke,petroleum fuels,2014-01-01 00:00:00+05:30
Non-specified Industry,kwh,0.0,0.0,Electricity own generated,Forms of energy,2009-01-01 00:00:00+05:30
Non-specified Industry,Cubic meter,5.413040344e-05,127.2590561,Re-gasified LNG,Natural gas,2014-01-01 00:00:00+05:30
Manufacture of Solid Fuels,Kwatt,0.0005283695646,6022.041016,Electricity purchased,Forms of energy,2017-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,4.141469617e-05,185.9644623,Petroleum products obtained from bitumen n.e.c.,petroleum fuels,2014-01-01 00:00:00+05:30
Non-Ferrous Metals,K. litre,6.743444101e-05,209.9128876,Diesel,petroleum fuels,2013-01-01 00:00:00+05:30
Non-specified Industry,K. litre,0.0002949534974,918.144165,Diesel,petroleum fuels,2014-01-01 00:00:00+05:30
Transport Equipment,Kwatt,0.05819216849,663239.625,Electricity purchased,Forms of energy,2016-01-01 00:00:00+05:30
Chemicals & fertilisers,K. litre,0.0001900395437,571.6719971,Superior kerosene,petroleum fuels,2014-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,1.189689328e-06,4.868868828,Petroleum coke calcined,petroleum fuels,2007-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,0.001986938296,8131.653809,Petroleum coke,petroleum fuels,2013-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.007883547805,32263.85547,Petroleum coke calcined,petroleum fuels,2011-01-01 00:00:00+05:30
Chemicals & fertilisers,K.litres,4.505856666e-08,0.1402602792,Gas oils,petroleum fuels,2012-01-01 00:00:00+05:30
Transport Equipment,Tonne,0.02013012767,82383.66406,Petroleum coke,petroleum fuels,2016-01-01 00:00:00+05:30
Non-specified Industry,Tonne,0.0004183982965,1712.318115,Petroleum coke,Petroleum fuels,2010-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,1.61416537e-07,0.5024645329,Diesel,petroleum fuels,2009-01-01 00:00:00+05:30
Chemicals & fertilisers,kwh,0.0,0.0,Electricity own generated,Forms of energy,2008-01-01 00:00:00+05:30
Non-specified Industry,tonne,0.006951156131,28164.81836,Coal consumed,Coal and Lignite,2008-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.001034346045,4190.981445,Coal consumed,Coal and Lignite,2016-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,0.0002253701823,701.5421753,High speed diesel,petroleum fuels,2005-01-01 00:00:00+05:30
Textile and Leather,tonne,8.283077477e-05,338.9895325,Petroleum coke calcined,petroleum fuels,2007-01-01 00:00:00+05:30
Wood and wood products,Kwatt,0.01715789728,195555.4688,Electricity purchased,Forms of energy,2014-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",K. Watt,0.03105889716,353990.7813,Electricity purchased,Forms of energy,2013-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,1.009077977e-07,0.3141102195,High speed diesel,petroleum fuels,2006-01-01 00:00:00+05:30
Machinery,Litre,9.660767682e-05,314.0723572,Furnace oil,Petroleum fuels,2014-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,2.825488446e-05,115.6346741,Petroleum coke calcined,petroleum fuels,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,1.093244282e-05,34.03098679,Diesel,petroleum fuels,2012-01-01 00:00:00+05:30
Wood and wood products,Cubic meter,9.003925697e-06,21.16797447,Gas consumed,Natural gas,2009-01-01 00:00:00+05:30
Chemicals & fertilisers,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2017-01-01 00:00:00+05:30
Iron and Steel,tonne,0.02470204793,80306.57031,Furnace oil,petroleum fuels,2009-01-01 00:00:00+05:30
"Pulp, Paper and Print",kwh,0.01102712442,130810.3984,Electricity purchased,Forms of energy,2004-01-01 00:00:00+05:30
Textile and Leather,k. litres,0.001210474409,3656.521729,Kerosene,petroleum fuels,2007-01-01 00:00:00+05:30
Textile and Leather,kwh,0.0,0.0,Electricity own generated,Forms of energy,2008-01-01 00:00:00+05:30
Iron and Steel,kwh,0.0,0.0,Electricity own generated,Forms of energy,2008-01-01 00:00:00+05:30
Manufacture of Solid Fuels,K. litre,3.775426904e-08,0.1175231412,High speed diesel,petroleum fuels,2017-01-01 00:00:00+05:30
Chemicals & fertilisers,k. litres,0.008914202452,27748.51953,Diesel,petroleum fuels,2004-01-01 00:00:00+05:30
Machinery,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2012-01-01 00:00:00+05:30
Machinery,Cubic meter,3.385153428e-06,7.958400726,Gas consumed,All gases,2013-01-01 00:00:00+05:30
Manufacture of Solid Fuels,K. litre,3.370476804e-07,1.049176812,High speed diesel,petroleum fuels,2016-01-01 00:00:00+05:30
Non-Ferrous Metals,Litres,0.000921724597,2996.534424,Furnace oil,petroleum fuels,2012-01-01 00:00:00+05:30
Iron and Steel,kwh,3.142133664e-06,34.71587372,Electricity purchased,Forms of energy,2009-01-01 00:00:00+05:30
Transport Equipment,Tonne,0.02468089573,101007.9297,Petroleum coke,petroleum fuels,2017-01-01 00:00:00+05:30
Textile and Leather,Tonne,0.0004615112048,1869.959229,Coal consumed,Coal and Lignite,2010-01-01 00:00:00+05:30
Machinery,k. litres,0.0005257568555,1636.598877,Diesel,petroleum fuels,2005-01-01 00:00:00+05:30
Machinery,Tonne,0.0001639385719,664.2491455,Coal consumed,Coal and Lignite,2010-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,0.0002094949596,632.8286133,Kerosene,petroleum fuels,2010-01-01 00:00:00+05:30
Iron and Steel,Kwatt,0.00467635924,53298.35156,Electricity purchased,Forms of energy,2016-01-01 00:00:00+05:30
Machinery,tonne,2.42163751e-05,99.10684967,Petroleum coke calcined,petroleum fuels,2006-01-01 00:00:00+05:30
Textile and Leather,tonne,4.894336598e-05,200.303421,Petroleum coke calcined,petroleum fuels,2005-01-01 00:00:00+05:30
Machinery,k. litres,3.37972524e-05,102.0925217,Kerosene,petroleum fuels,2008-01-01 00:00:00+05:30
Textile and Leather,Tonne,0.001675958862,6858.954102,Petroleum coke,petroleum fuels,2016-01-01 00:00:00+05:30
Chemicals & fertilisers,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2013-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.004119626712,16859.79883,Petroleum coke,petroleum fuels,2011-01-01 00:00:00+05:30
Non-specified Industry,K. Watt,0.06356080548,724428.125,Electricity purchased,Forms of energy,2013-01-01 00:00:00+05:30
Non-Ferrous Metals,Kwatt,0.003358502119,37497.01563,Electricity purchased,Forms of energy,2010-01-01 00:00:00+05:30
Machinery,kwh,0.01009563097,119760.4609,Electricity purchased,Forms of energy,2006-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,2.918649322e-08,0.08816464245,Kerosene n.e.c,petroleum fuels,2010-01-01 00:00:00+05:30
Chemicals & fertilisers,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.002053310396,8403.286133,Petroleum coke,petroleum fuels,2014-01-01 00:00:00+05:30
Textile and Leather,kwh,0.0,0.0,Electricity own generated,Forms of energy,2004-01-01 00:00:00+05:30
Iron and Steel,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2015-01-01 00:00:00+05:30
Non-Metallic Minerals,K. litre,6.43429521e-05,198.1344299,Light petroleum oil,petroleum fuels,2014-01-01 00:00:00+05:30
Non-specified Industry,Cubic meter,2.608426541e-07,0.6132337451,Gas consumed,Natural gas,2009-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,0.0006368250633,2580.298828,Coal consumed,Coal and Lignite,2015-01-01 00:00:00+05:30
Chemicals & fertilisers,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2012-01-01 00:00:00+05:30
Transport Equipment,Tonne,0.0003940096358,1612.506104,Petroleum coke calcined,petroleum fuels,2016-01-01 00:00:00+05:30
Wood and wood products,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2014-01-01 00:00:00+05:30
Manufacture of Solid Fuels,Tonne,6.01358397e-06,24.61092377,Petroleum coke calcined,petroleum fuels,2016-01-01 00:00:00+05:30
"Pulp, Paper and Print",tonne,0.1123520243,455229.9063,Coal consumed,Coal and Lignite,2006-01-01 00:00:00+05:30
Transport Equipment,K.litres,0.008075602353,25138.08984,High speed diesel,petroleum fuels,2012-01-01 00:00:00+05:30
"Pulp, Paper and Print",Kg,0.01057466678,27959.92578,Liquidified petroleum gas (LPG),Petroleum fuels,2015-01-01 00:00:00+05:30
Chemicals & fertilisers,k. litres,0.003001241712,9065.954102,Kerosene,petroleum fuels,2007-01-01 00:00:00+05:30
Non-Ferrous Metals,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2013-01-01 00:00:00+05:30
Transport Equipment,tonne,0.0006227804115,2548.763428,Petroleum coke,petroleum fuels,2008-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.009257065132,37885.05078,Petroleum coke calcined,petroleum fuels,2016-01-01 00:00:00+05:30
Chemicals & fertilisers,K. litre,8.87340575e-05,276.215271,Diesel,petroleum fuels,2016-01-01 00:00:00+05:30
Wood and wood products,kwh,0.0007904524729,9376.824219,Electricity purchased,Forms of energy,2006-01-01 00:00:00+05:30
Machinery,kwh,0.02322751882,272837.4688,Electricity purchased,Forms of energy,2008-01-01 00:00:00+05:30
"Pulp, Paper and Print",Tonne,0.01223696582,50080.45313,Petroleum coke calcined,petroleum fuels,2010-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.00458503468,18764.50586,Petroleum coke calcined,petroleum fuels,2015-01-01 00:00:00+05:30
Wood and wood products,Litres,0.002189481398,7118.022461,Furnace oil,petroleum fuels,2011-01-01 00:00:00+05:30
Wood and wood products,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2016-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.05061156303,207130.6094,Petroleum coke,petroleum fuels,2011-01-01 00:00:00+05:30
Non-Ferrous Metals,Kwatt,0.003365937271,38362.94531,Electricity purchased,Forms of energy,2015-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,5.692990271e-06,17.19701195,Kerosene,petroleum fuels,2009-01-01 00:00:00+05:30
Machinery,Tonne,0.0003694719344,1497.032837,Coal consumed,Coal and Lignite,2012-01-01 00:00:00+05:30
Textile and Leather,K.litres,0.002260186709,6827.423828,Kerosene n.e.c,petroleum fuels,2012-01-01 00:00:00+05:30
Iron and Steel,K. litre,1.401996997e-05,43.64197922,Diesel,petroleum fuels,2013-01-01 00:00:00+05:30
Machinery,Litre,0.01742462255,56647.58984,Furnace oil,petroleum fuels,2014-01-01 00:00:00+05:30
Non-specified Industry,Tonne,0.001233867137,4194.031738,"Other coal tar oil pitch products, n.e.c.",Coal and Lignite,2016-01-01 00:00:00+05:30
Chemicals & fertilisers,Kg,0.0003538694582,935.6478271,Liquidified petroleum gas (LPG),Petroleum fuels,2013-01-01 00:00:00+05:30
"Pulp, Paper and Print",Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2017-01-01 00:00:00+05:30
Iron and Steel,Litre,0.003540269798,11509.44727,Furnace oil,petroleum fuels,2014-01-01 00:00:00+05:30
Manufacture of Solid Fuels,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2015-01-01 00:00:00+05:30
Non-Metallic Minerals,kwh,2.493550433e-08,0.292899996,Electricity purchased,Forms of energy,2008-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,1.365787853e-06,3.977007389,"Fuel, aviation turbine",petroleum fuels,2007-01-01 00:00:00+05:30
Machinery,k. litres,3.20314939e-05,96.75862885,Kerosene,petroleum fuels,2007-01-01 00:00:00+05:30
Transport Equipment,K. litre,4.091055871e-06,12.73481846,High speed diesel,petroleum fuels,2016-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,0.001927102217,7886.771973,Petroleum coke,petroleum fuels,2016-01-01 00:00:00+05:30
Non-Metallic Minerals,kwh,0.0,0.0,Electricity own generated,Forms of energy,2009-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,0.001383087947,5660.36377,Petroleum coke,petroleum fuels,2010-01-01 00:00:00+05:30
Chemicals & fertilisers,K.litres,1.243293354e-05,38.2853508,Light petroleum oil,petroleum fuels,2012-01-01 00:00:00+05:30
"Pulp, Paper and Print",K. Watt,0.03895188284,439420.1875,Electricity purchased,Forms of energy,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,Litre,1.199765165e-06,3.900446653,Furnace oil,Petroleum fuels,2014-01-01 00:00:00+05:30
"Pulp, Paper and Print",Tonne,0.1027019246,416129.4688,Coal consumed,Coal and Lignite,2014-01-01 00:00:00+05:30
Chemicals & fertilisers,Cubic meter,1.700960481e-06,3.998910189,Gas consumed,Natural gas,2016-01-01 00:00:00+05:30
Chemicals & fertilisers,kwh,0.0,0.0,Electricity own generated,Forms of energy,2005-01-01 00:00:00+05:30
Non-Metallic Minerals,K. litre,0.00148592412,4625.449707,High speed diesel,petroleum fuels,2016-01-01 00:00:00+05:30
Non-specified Industry,Litre,0.001942448085,6314.915527,Furnace oil,Petroleum fuels,2015-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.000848218624,2469.908936,"Fuel, aviation turbine",petroleum fuels,2007-01-01 00:00:00+05:30
Machinery,Litres,0.000438299583,1424.915649,Furnace oil,Petroleum fuels,2013-01-01 00:00:00+05:30
Non-Metallic Minerals,kwh,0.0,0.0,Electricity own generated,Forms of energy,2005-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.002021357643,8190.172363,Coal consumed,Coal and Lignite,2007-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,1.030610292e-05,32.0812912,Diesel,petroleum fuels,2011-01-01 00:00:00+05:30
Machinery,K. Watt,0.04627326056,532776.5625,Electricity purchased,Forms of energy,2012-01-01 00:00:00+05:30
Iron and Steel,kwh,0.04339584196,504693.7813,Electricity purchased,Forms of energy,2007-01-01 00:00:00+05:30
Textile and Leather,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2010-01-01 00:00:00+05:30
Manufacture of Solid Fuels,K.litres,0.0,2.331060568e-05,Fuel oils n.e.c,petroleum fuels,2010-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",K. Watt,0.02620349454,301699.25,Electricity purchased,Forms of energy,2012-01-01 00:00:00+05:30
Textile and Leather,Tonne,0.0003661464143,1644.107666,Petroleum products obtained from bitumen n.e.c.,petroleum fuels,2014-01-01 00:00:00+05:30
Iron and Steel,k. litres,1.668256846e-05,51.930233,Diesel,petroleum fuels,2007-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,0.0005909628235,1785.141724,Kerosene,petroleum fuels,2004-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.02108702995,86299.83594,Petroleum coke,petroleum fuels,2006-01-01 00:00:00+05:30
Transport Equipment,Cubic meter,6.559973326e-06,15.42231274,Gas consumed,Natural gas,2017-01-01 00:00:00+05:30
Machinery,Litre,1.232563591e-05,40.07074738,Furnace oil,Petroleum fuels,2014-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Kwatt,0.0384889573,438674.1563,Electricity purchased,Forms of energy,2017-01-01 00:00:00+05:30
Machinery,tonne,0.009366268292,30449.81641,Furnace oil,petroleum fuels,2007-01-01 00:00:00+05:30
Chemicals & fertilisers,Kg,0.002649909817,7006.48877,Liquidified petroleum gas (LPG),Petroleum fuels,2015-01-01 00:00:00+05:30
Wood and wood products,kwh,0.0003112132783,3691.799561,Electricity purchased,Forms of energy,2004-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,5.442392847e-08,0.2227329314,Petroleum coke calcined,petroleum fuels,2004-01-01 00:00:00+05:30
Textile and Leather,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2012-01-01 00:00:00+05:30
Transport Equipment,kwh,0.009601880506,112786.6016,Electricity purchased,Forms of energy,2008-01-01 00:00:00+05:30
Wood and wood products,kwh,0.0,0.0,Electricity own generated,Forms of energy,2009-01-01 00:00:00+05:30
Chemicals & fertilisers,Kwatt,0.06123810057,683711.3125,Electricity purchased,Forms of energy,2010-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,0.003606650047,10894.73242,Kerosene,petroleum fuels,2007-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.0002525776508,1131.474243,Lignite briquettes,Coal & Lignite Products,2013-01-01 00:00:00+05:30
Iron and Steel,tonne,0.003835662501,15697.66016,Petroleum coke calcined,petroleum fuels,2007-01-01 00:00:00+05:30
Manufacture of Solid Fuels,K. litre,1.813293551e-07,0.564449966,High speed diesel,petroleum fuels,2015-01-01 00:00:00+05:30
Wood and wood products,kwh,0.004626479209,53805.96875,Electricity purchased,Forms of energy,2007-01-01 00:00:00+05:30
Non-Metallic Minerals,Kwatt,0.004507865175,50329.42578,Electricity purchased,Forms of energy,2010-01-01 00:00:00+05:30
Non-Metallic Minerals,K. Watt,0.01571989867,177337.7969,Electricity purchased,Forms of energy,2011-01-01 00:00:00+05:30
Transport Equipment,Tonne,0.000175312889,710.3358765,Coal consumed,Coal and Lignite,2012-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Cubic meter,5.475958732e-06,12.87382507,Gas consumed,Natural gas,2016-01-01 00:00:00+05:30
Wood and wood products,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2012-01-01 00:00:00+05:30
Transport Equipment,tonne,0.001721572015,7045.628906,Petroleum coke calcined,petroleum fuels,2009-01-01 00:00:00+05:30
Non-Metallic Minerals,K. litre,3.083201955e-05,95.9752655,Diesel,petroleum fuels,2013-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.0002536322863,1020.627869,Coal,Coal,2007-01-01 00:00:00+05:30
Textile and Leather,K.litres,0.0005610159715,1694.680298,Kerosene,petroleum fuels,2012-01-01 00:00:00+05:30
Non-specified Industry,K. litre,0.0004143917176,1289.936646,Diesel,petroleum fuels,2015-01-01 00:00:00+05:30
Non-Metallic Minerals,kwh,2.74729766e-05,325.901001,Electricity purchased,Forms of energy,2004-01-01 00:00:00+05:30
Machinery,Litres,0.01372542512,44621.47266,Furnace oil,petroleum fuels,2010-01-01 00:00:00+05:30
Wood and wood products,tonne,0.000971931091,3159.756104,Furnace oil,petroleum fuels,2008-01-01 00:00:00+05:30
Machinery,kwh,0.0,0.0,Electricity own generated,Forms of energy,2007-01-01 00:00:00+05:30
Non-Metallic Minerals,Kwatt,0.009240244062,105314.7813,Electricity purchased,Forms of energy,2014-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",K.litres,0.0001700598805,552.8660889,Fuel oils n.e.c,petroleum fuels,2012-01-01 00:00:00+05:30
Textile and Leather,kwh,0.0,0.0,Electricity own generated,Forms of energy,2006-01-01 00:00:00+05:30
